Organism	seed_id	CE0	CE2	CE4	CE5	CE8	CE9	CE20	GH0	GH1	GH2	GH3	GH4	GH5	GH8	GH10	GH13	GH16	GH18	GH20	GH23	GH25	GH26	GH27	GH28	GH29	GH30	GH31	GH32	GH33	GH35	GH36	GH38	GH39	GH42	GH43	GH49	GH50	GH51	GH53	GH59	GH65	GH73	GH76	GH77	GH78	GH84	GH85	GH89	GH91	GH94	GH95	GH101	GH109	GH110	GH112	GH115	GH120	GH121	GH123	GH125	GH127	GH129	GH130	GH136	GH140	GH146	GH151	GH154	GH163	GH172	PL27
Bifidobacterium breve STL_TW14.1_LFYP81	fig|6666666.201646	0	1	0	0	0	1	1	2	2	4	4	0	2	0	0	12	0	1	1	4	1	0	0	0	0	0	1	1	1	0	3	3	0	3	1	0	0	0	1	0	1	0	0	2	0	0	1	0	0	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0
Bifidobacterium breve UCC2003	fig|326426.4	0	0	0	0	0	2	0	1	2	5	6	0	2	0	0	13	0	1	1	3	1	0	0	0	0	1	2	2	1	1	2	3	0	2	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	2	0
Bifidobacterium catenulatum subsp. catenulatum 1899B	fig|1686.6	0	0	0	0	0	1	4	1	0	2	6	0	2	2	1	9	0	0	1	2	2	0	0	0	0	1	1	1	0	1	4	1	2	3	9	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0
Bifidobacterium catenulatum subsp. catenulatum DSM 16992	fig|566552.4	0	0	0	0	0	1	2	1	0	3	6	0	2	1	0	7	0	0	0	3	1	0	0	0	0	1	1	2	0	0	3	1	1	3	7	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	2	0
Bifidobacterium catenulatum subsp. kashiwanohense Bg42221_1E1	fig|630129.38	0	0	0	0	0	2	4	1	1	2	7	0	3	2	1	8	0	1	2	2	2	1	1	0	3	0	2	2	1	0	3	1	0	3	12	0	0	2	0	0	0	0	0	2	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Bifidobacterium catenulatum subsp. kashiwanohense JCM 15439 = DSM 21854	fig|1150460.7	0	1	0	0	0	1	5	1	2	3	5	0	1	2	1	9	0	1	1	4	1	0	1	0	2	1	3	2	0	1	2	1	0	3	8	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Bifidobacterium catenulatum subsp. kashiwanohense_A Bg41121_2E9	fig|630129.13	0	0	0	0	0	1	4	1	2	2	5	0	1	2	1	9	0	1	1	3	2	0	0	0	1	1	2	2	0	0	2	1	0	3	10	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Bifidobacterium catenulatum subsp. kashiwanohense_A Bg42221_1D3	fig|630129.10	0	0	0	0	0	1	4	1	1	2	7	0	3	2	1	9	0	1	1	2	3	1	0	0	2	1	2	2	0	0	4	1	1	4	12	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Bifidobacterium catenulatum subsp. kashiwanohense_A PV20-2	fig|1447716.4	0	0	0	0	0	1	2	1	2	2	6	0	3	0	0	8	0	1	1	3	1	0	0	0	0	0	2	2	0	0	2	1	0	3	6	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
Bifidobacterium dentium ATCC 27679	fig|871562.3	0	1	1	0	0	2	2	2	2	6	12	0	4	0	0	14	0	0	0	4	2	2	1	0	1	1	4	2	1	0	5	0	0	4	12	0	0	1	1	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0
Bifidobacterium dentium Bd1	fig|401473.3	0	1	1	0	0	1	2	2	2	6	11	0	4	0	0	13	0	0	0	3	2	2	1	0	1	1	4	2	0	0	5	0	0	4	12	0	0	2	1	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	2	0
Bifidobacterium dentium MSTE12	fig|1161409.3	0	1	1	0	0	2	3	2	2	6	10	0	5	0	0	14	0	0	0	5	1	2	1	0	1	1	4	3	1	0	5	0	1	4	12	0	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	3	0
Bifidobacterium dentium STL_TW14.1_LFYP24	fig|6666666.201629	0	1	1	0	0	2	3	2	2	6	10	0	4	0	0	14	0	0	0	5	1	2	1	0	1	1	4	3	1	0	5	0	1	4	12	0	0	1	1	0	0	0	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	3	0
Bifidobacterium gallicum DSM 20093	fig|561180.4	0	0	1	0	0	1	1	2	0	1	2	0	0	0	0	11	0	0	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium longum 1897B	fig|216816.144	0	0	0	0	0	1	1	2	0	1	6	0	0	1	0	11	0	0	1	4	2	0	0	0	0	1	0	3	0	1	1	0	0	3	4	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	2	0
Bifidobacterium longum 239-2	fig|216816.262	0	0	0	0	0	1	0	1	0	2	7	0	0	0	0	12	0	0	1	3	0	0	1	0	0	0	1	3	0	1	1	0	0	2	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
Bifidobacterium longum STL_TW14.1_LFYP82	fig|216816.1981	0	0	0	0	0	1	0	1	0	2	7	0	0	0	0	12	0	0	1	4	0	0	1	0	0	0	1	3	0	1	1	0	0	2	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	fig|391904.5	0	1	0	0	0	1	1	1	1	2	2	0	2	0	0	8	0	1	3	2	4	0	0	0	3	0	0	2	2	0	1	2	0	3	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1
Bifidobacterium longum subsp. infantis Bg064.S07_13.C6	fig|1682.51	0	0	0	0	0	1	0	2	1	3	1	1	2	0	0	9	0	1	2	3	0	0	0	0	3	0	1	2	2	0	2	3	0	2	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	2	0
Bifidobacterium longum subsp. infantis Bg40721_2D9	fig|1682.151	0	0	0	0	0	2	0	3	0	3	3	0	3	0	0	8	0	1	3	3	0	0	0	0	3	1	0	1	2	0	1	1	0	2	1	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	1	0	1	0	1	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0
Bifidobacterium longum subsp. infantis Bg41721_1D11	fig|1682.153	0	0	0	0	0	1	0	2	1	3	2	0	2	0	0	8	0	0	2	2	3	0	0	0	3	0	0	2	2	0	1	2	0	2	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0
Bifidobacterium longum subsp. infantis BT1	fig|1682.24	0	0	0	0	0	1	0	1	0	2	4	0	3	0	0	8	0	1	3	2	0	0	0	0	3	0	0	1	2	0	1	2	0	2	1	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	0	0	0	0	0	2	0	2	0	1	2	0	3	0	0	8	0	1	3	4	0	0	0	0	6	0	0	1	2	0	1	1	0	2	0	0	0	1	0	0	0	0	0	2	0	0	2	0	0	0	1	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	1
Bifidobacterium longum subsp. infantis JG_Bg463	fig|1682.154	0	0	0	0	0	1	0	1	1	2	3	0	2	0	0	8	0	1	2	2	1	0	0	0	2	0	0	1	2	0	1	2	0	2	1	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Bifidobacterium longum subsp. infantis LH_23	fig|1682.137	0	0	0	0	0	1	0	2	1	2	2	0	2	0	0	9	0	0	2	4	2	0	0	0	2	0	1	2	2	0	2	2	0	3	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0
Bifidobacterium longum subsp. infantis LH_664	fig|1682.138	0	0	0	0	0	1	0	3	1	2	2	1	2	0	0	8	0	1	2	3	1	0	0	0	4	0	0	2	2	0	1	3	0	3	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	1
Bifidobacterium longum subsp. infantis LH_666	fig|1682.136	0	0	0	0	0	1	0	3	1	2	2	1	2	0	0	8	0	1	2	3	1	0	0	0	4	0	0	2	2	0	1	3	0	3	3	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	1	0	1	0	1	0	0	1	0	0	0	1
Bifidobacterium longum subsp. infantis Malawi264A_MC1	fig|1682.50	0	0	0	0	0	1	0	1	0	3	4	0	2	0	0	8	0	2	3	2	2	0	0	0	3	1	0	1	2	0	1	2	0	2	1	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1
Bifidobacterium longum subsp. infantis Malawi264A_MC2	fig|1682.49	0	0	0	0	0	1	0	1	0	1	2	1	3	0	0	8	0	3	3	2	0	0	0	0	4	0	1	0	2	0	1	4	0	2	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1
Bifidobacterium longum subsp. infantis R0033	fig|1678.111	0	0	0	0	0	1	0	1	2	2	1	1	2	0	0	8	0	1	2	2	1	0	0	0	3	0	0	2	2	0	1	3	0	2	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Bifidobacterium longum subsp. infantis TPY12-1	fig|1682.30	0	0	0	0	0	1	0	2	1	2	3	0	3	0	0	8	0	2	2	3	4	0	0	0	2	0	2	1	2	0	1	2	0	2	2	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0
Bifidobacterium longum subsp. longum 1	fig|216816.315	0	0	0	0	0	2	0	1	0	1	4	0	1	0	0	11	0	0	1	2	1	0	1	0	0	1	2	1	0	0	3	0	1	2	5	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	2	1	0	1	0	0	0	0	0	1	0
Bifidobacterium longum subsp. longum 1-5B	fig|1350471.3	1	0	0	0	1	1	0	1	0	1	3	0	1	0	0	9	0	0	1	5	0	0	1	0	0	1	2	1	0	0	2	0	0	2	10	0	0	5	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	2	1	0	0	0	1	0	0	0	2	0
Bifidobacterium longum subsp. longum 1-6B	fig|1161744.3	0	0	0	0	0	1	0	1	0	1	2	0	1	0	0	8	0	0	1	3	2	0	1	0	0	1	2	2	0	0	1	0	0	2	15	0	0	5	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	2	1	0	0	0	0	0	0	0	1	0
Bifidobacterium longum subsp. longum 105-A	fig|216816.107	1	0	0	0	1	1	0	1	0	2	5	0	2	0	0	10	0	0	1	3	0	0	1	0	0	1	2	1	0	0	2	2	0	2	13	0	0	5	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	2	0	0	1	0	0	0	0	0	1	0
Bifidobacterium longum subsp. longum 12_1_47BFAA	fig|469594.3	1	0	0	0	1	1	0	1	0	1	4	0	1	0	0	9	0	0	1	4	0	0	1	0	0	1	2	1	0	0	1	2	0	2	9	0	0	5	1	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	2	1	0	0	0	0	0	0	0	0	1
Bifidobacterium longum subsp. longum 157F	fig|565040.3	1	0	0	0	1	1	0	1	0	2	5	0	2	0	0	9	0	1	1	3	1	0	1	0	0	1	2	1	0	0	1	2	0	2	7	0	0	4	1	0	1	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	2	1	0	0	0	0	0	0	0	0	0
Bifidobacterium longum subsp. longum 17-1B	fig|1350473.3	1	0	0	0	1	1	1	1	0	1	4	0	2	0	0	12	0	0	1	4	2	0	1	0	0	1	2	2	0	0	2	2	0	2	9	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	2	1	0	1	0	1	0	0	0	1	0
Bifidobacterium longum subsp. longum 1886B	fig|216816.146	0	0	0	0	0	1	0	2	0	1	4	0	1	0	0	8	0	0	1	3	3	0	1	0	0	1	2	1	1	0	1	0	0	2	12	0	0	4	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	1
Bifidobacterium longum subsp. longum 1890B	fig|216816.145	0	0	0	0	0	1	0	1	0	1	3	0	2	0	0	9	0	0	1	2	0	0	1	0	0	1	3	2	0	0	2	2	1	2	17	0	0	5	1	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	2	1	0	1	0	1	0	0	0	1	0
Bifidobacterium longum subsp. longum 2-2B	fig|1161745.3	1	0	0	0	1	1	1	1	0	1	4	0	2	0	0	11	0	0	1	3	1	0	1	0	0	1	2	1	0	0	2	2	0	2	13	0	0	5	1	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	2	1	0	0	0	2	0	0	0	2	0
Bifidobacterium longum subsp. longum 296B	fig|1679.29	1	0	0	0	1	1	0	1	0	1	3	0	1	0	0	10	0	0	1	2	0	0	1	0	0	1	2	1	0	0	2	0	0	2	10	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	2	1	0	0	0	2	0	0	0	1	0
Bifidobacterium longum subsp. longum 35624	fig|216816.126	1	0	0	0	1	1	0	1	0	2	3	0	1	0	0	9	0	1	1	3	1	0	1	0	0	1	2	1	0	0	2	0	0	2	7	0	0	4	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	2	0	0	1	0	1	0	0	0	2	0
Bifidobacterium longum subsp. longum 35B	fig|1161904.3	1	0	0	0	1	2	1	1	0	1	4	0	2	0	0	10	0	0	1	4	2	0	1	0	0	1	2	1	0	0	2	0	0	2	13	0	0	5	1	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	2	1	0	0	0	2	0	0	0	2	0
Bifidobacterium longum subsp. longum 379	fig|216816.117	1	0	0	0	1	1	0	1	0	1	3	0	1	0	0	10	0	1	1	2	0	0	1	0	0	1	2	2	0	0	1	0	0	2	11	0	0	5	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	2	1	0	1	0	1	0	0	0	1	0
Bifidobacterium longum subsp. longum 44B	fig|1161743.3	0	0	0	0	0	1	0	1	0	1	4	0	2	0	0	8	0	1	1	2	2	0	1	0	0	1	2	2	0	0	1	2	0	2	15	0	0	5	1	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	2	1	0	0	0	0	0	0	0	1	0
Bifidobacterium longum subsp. longum 7-1B	fig|1350472.3	1	0	0	0	1	1	1	1	0	1	4	0	2	0	0	10	0	0	1	3	2	0	1	0	0	1	2	2	0	0	2	2	0	2	13	0	0	5	1	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	2	1	0	0	0	1	0	0	0	2	0
Bifidobacterium longum subsp. longum 72B	fig|1457184.3	0	0	0	0	0	2	0	1	0	1	3	0	1	0	0	10	0	0	1	4	1	0	0	0	0	1	3	1	0	0	2	0	0	3	6	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0
Bifidobacterium longum subsp. longum AF03-20	fig|216816.288	2	0	0	0	2	1	0	2	0	1	4	0	2	0	0	9	0	0	1	5	0	0	1	0	0	1	3	1	0	0	2	2	0	2	11	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	2	0	0	1	0	1	0	0	0	1	0
Bifidobacterium longum subsp. longum AF04-13	fig|216816.286	1	0	0	0	1	1	0	1	0	2	3	0	2	0	0	9	0	1	1	4	0	0	1	0	0	1	2	1	0	0	2	0	0	2	11	0	0	4	0	0	1	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0
Bifidobacterium longum subsp. longum AF05-2	fig|216816.284	1	0	0	0	1	1	0	1	0	1	4	0	2	0	0	9	0	0	1	3	1	0	1	0	0	1	3	1	0	0	2	2	0	2	5	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	2	1	0	0	0	0	0	0	0	2	0
Bifidobacterium longum subsp. longum AF08-2	fig|216816.283	1	0	0	0	1	1	0	1	0	1	4	0	2	0	0	11	0	0	1	5	3	0	1	0	0	1	2	1	0	0	2	2	0	2	11	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	2	0	0	1	0	1	0	0	0	2	0
Bifidobacterium longum subsp. longum AF11-12	fig|216816.282	0	0	0	0	0	1	0	2	0	2	3	0	1	0	0	10	0	0	1	4	1	0	1	0	0	1	2	1	0	0	1	0	0	2	7	0	0	4	0	0	1	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	2	1	0	1	0	0	0	0	0	1	0
Bifidobacterium longum subsp. longum AF11-41	fig|216816.280	2	0	0	0	2	2	0	1	0	2	4	0	2	0	0	10	0	1	1	2	0	0	1	0	0	1	2	1	0	0	2	2	0	2	7	0	0	4	0	0	1	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	2	1	0	1	0	0	0	0	0	2	0
Bifidobacterium longum subsp. longum AF14-34	fig|216816.277	0	0	0	0	0	1	0	2	0	2	4	0	2	0	0	10	0	0	1	4	0	0	1	0	0	1	2	1	0	0	2	2	0	2	6	0	0	4	1	0	0	0	0	2	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	2	1	0	0	0	1	0	0	0	2	0
Bifidobacterium longum subsp. longum AF26-10	fig|216816.275	1	0	0	0	1	1	1	1	0	1	3	0	2	0	0	10	0	0	1	3	2	0	1	0	0	1	2	1	0	0	2	2	0	2	10	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	2	0
Bifidobacterium longum subsp. longum AF27-1BH	fig|216816.274	0	0	0	0	0	1	0	2	0	2	3	0	2	0	0	8	0	0	1	3	0	0	1	0	0	1	3	1	0	0	1	2	0	2	5	0	0	4	0	0	1	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	2	0	0	1	0	1	0	0	0	0	0
Bifidobacterium longum subsp. longum AF30-12	fig|216816.311	1	0	0	0	1	1	1	1	0	1	3	0	2	0	0	9	0	0	1	2	1	0	1	0	0	1	2	1	0	0	2	2	0	2	11	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	2	0	0	0	0	1	0	0	0	1	0
Bifidobacterium longum subsp. longum AF34-9AC	fig|216816.310	1	0	0	0	1	1	0	1	0	1	4	0	2	0	0	10	0	0	1	4	1	0	1	0	0	1	2	1	0	0	1	2	0	2	11	0	0	3	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	2	0	0	1	0	1	0	0	0	1	0
Bifidobacterium longum subsp. longum AF35-13AC	fig|216816.309	1	0	0	0	1	1	0	1	0	1	4	0	2	0	0	11	0	0	1	4	1	0	1	0	0	1	2	1	0	0	2	2	0	2	11	0	0	4	0	0	0	0	0	2	1	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	2	1	0	0	0	1	0	0	0	2	1
Bifidobacterium longum subsp. longum AF36-1	fig|216816.308	1	0	0	0	1	2	0	1	0	1	4	0	2	0	0	11	0	0	1	3	2	0	1	0	0	1	2	1	0	0	2	2	0	2	8	0	0	4	0	0	0	0	0	2	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0
Bifidobacterium longum subsp. longum AH1206	fig|1679.26	1	0	0	0	1	1	0	1	1	1	2	0	1	0	0	10	0	0	1	5	2	0	1	0	0	1	2	1	0	0	2	0	0	2	13	0	0	4	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	2	1	0	1	0	1	0	0	0	2	0
Bifidobacterium longum subsp. longum AM10-15B	fig|216816.306	1	0	0	0	1	1	0	2	0	2	4	0	2	0	0	10	0	0	1	5	1	0	1	0	0	1	2	1	0	0	2	2	0	2	9	0	0	4	0	0	1	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	2	1	0	0	0	1	0	0	0	2	0
Bifidobacterium longum subsp. longum AM11-2	fig|216816.305	0	0	0	0	0	1	0	2	0	1	4	0	2	0	0	9	0	1	1	4	0	0	1	0	0	1	3	1	0	0	1	2	0	2	7	0	0	4	1	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	2	0	0	1	0	1	0	0	0	0	0
Bifidobacterium longum subsp. longum AM12-16	fig|216816.304	2	0	0	0	2	1	1	1	0	1	4	0	2	0	0	9	0	1	1	3	2	0	1	0	0	1	2	1	0	0	1	2	0	2	11	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	2	1	0	0	0	0	0	0	0	1	0
Bifidobacterium longum subsp. longum AM16-2	fig|216816.303	0	0	0	0	0	1	0	1	0	1	4	0	2	0	0	10	0	0	1	3	0	0	1	0	0	1	2	1	0	0	2	2	0	2	9	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	2	0	0	1	0	1	0	0	0	2	0
Bifidobacterium longum subsp. longum AM20-39	fig|216816.301	1	0	0	0	1	2	0	1	0	2	4	0	2	0	0	11	0	0	1	3	0	0	1	0	0	1	3	1	0	0	2	2	0	2	9	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	2	0	0	1	0	1	0	0	0	1	0
Bifidobacterium longum subsp. longum AM21-20	fig|216816.299	0	0	0	0	0	1	0	1	0	1	3	0	2	0	0	10	0	0	1	4	0	0	1	0	0	1	2	1	0	0	2	2	0	2	11	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	2	1	0	1	0	1	1	0	1	2	0	0	1	0	0	0	0	0	1	0
Bifidobacterium longum subsp. longum AM30-9LB	fig|216816.298	0	0	0	0	0	1	0	1	0	1	3	0	1	0	0	10	0	0	1	3	2	0	1	0	0	1	2	1	0	0	2	0	0	2	9	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	2	0	0	1	0	1	0	0	0	2	0
Bifidobacterium longum subsp. longum AM31-13LB	fig|216816.297	1	0	0	0	1	1	0	2	0	1	4	0	2	0	0	10	0	0	1	4	2	0	1	0	0	1	2	2	0	0	2	2	0	2	11	0	0	4	1	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	2	0	0	1	0	1	0	0	0	1	0
Bifidobacterium longum subsp. longum AM34-3	fig|216816.294	1	0	0	0	1	1	1	2	0	1	2	0	1	0	0	9	0	0	1	3	1	0	1	0	0	1	3	1	0	0	2	0	0	2	11	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	2	0	0	1	0	1	0	0	0	1	0
Bifidobacterium longum subsp. longum AM39-10AC	fig|216816.296	0	0	0	0	0	1	1	1	0	2	4	0	2	0	0	9	0	0	1	2	1	0	1	0	0	1	3	1	0	0	1	2	0	2	12	0	0	5	1	0	1	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	2	1	0	1	0	0	0	0	0	1	0
Bifidobacterium longum subsp. longum AM39-8AC	fig|216816.293	2	0	0	0	2	1	0	2	0	1	3	0	2	0	0	10	0	0	1	3	1	0	1	0	0	1	2	1	0	0	2	2	0	2	10	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	2	0	0	1	0	1	0	0	0	2	0
Bifidobacterium longum subsp. longum AM42-13AT	fig|216816.295	1	0	0	0	1	1	0	1	0	1	3	0	2	0	0	9	0	0	1	3	0	0	1	0	0	1	2	1	0	0	2	2	0	2	9	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	2	0	0	1	0	0	0	0	0	1	0
Bifidobacterium longum subsp. longum APC1462	fig|216816.181	1	0	0	0	1	1	0	3	0	1	4	0	2	0	0	9	0	1	1	5	1	0	1	0	0	1	2	1	0	0	2	2	0	2	13	0	0	4	1	0	0	0	0	2	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0
Bifidobacterium longum subsp. longum APC1464	fig|216816.180	1	0	0	0	1	1	0	2	0	1	4	0	2	0	0	9	0	1	1	4	1	0	1	0	0	1	2	1	0	0	2	2	0	2	11	0	0	3	0	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	2	0	0	1	0	0	0	0	0	1	0
Bifidobacterium longum subsp. longum APC1465	fig|216816.179	1	0	0	0	1	2	0	1	0	1	3	0	1	0	0	10	0	0	1	3	0	0	1	0	0	1	2	1	0	0	3	0	1	2	11	0	0	5	1	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	2	1	0	0	0	0	0	0	0	2	0
Bifidobacterium longum subsp. longum APC1466	fig|216816.185	1	0	0	0	1	2	0	1	0	1	3	0	1	0	0	10	0	0	1	3	0	0	1	0	0	1	2	1	0	0	3	0	1	2	10	0	0	5	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	2	0
Bifidobacterium longum subsp. longum APC1468	fig|216816.178	2	0	0	0	2	2	0	1	0	1	4	0	2	0	0	8	0	1	1	4	1	0	1	0	0	1	3	1	0	0	3	2	1	2	11	0	0	5	1	0	0	0	0	2	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	1
