Organism	seed_id	Gene_ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools	Families	Function	Subsystem
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1375	3.2.1.23:18	GH42(25-396)	GH42_e28	GH42	N	3	GH42	Beta-1,4-galactosidase (GH42)	Beta-galactoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1376	-	GH35(44-397)	GH35_e16	GH35	N	3	GH35	Putative beta-galactosidase (GH35)	Beta-galactoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1414	-|-|-	GH25(37-209)	GH25_e75+CBM50_e433+CBM50_e872	CBM50+GH25	Y(1-33)	3	GH25	Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-)	-
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1468	-	GH13_3(321-539)	GH13_e41	GH13_3	Y(1-24)	3	GH13_3	Cytoplasmic alpha-amylase (EC 3.2.1.1)	Maltose and starch utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.147	3.2.1.1:5|3.2.1.116:1|3.2.1.41:25|3.2.1.1:2|3.2.1.68:2	GH13_32(80-376)+CBM41(819-940)	GH13_e240+CBM41_e0	CBM41+GH13_32	Y(1-45)	3	GH13_32	Extracellular type II bifunctional pullulanase (GH13_14_32)	Maltose and starch utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1535	-|-|-|-|-	GH25(195-381)+CBM13(433-575)+CBM13(574-708)+CBM13(725-816)	GH25_e221+CBM13_e31+CBM13_e31+CBM13_e31+CBM13_e195	CBM13+GH25	Y(1-31)	3	GH25	1,4-beta-N-acetylmuramidase	-
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1537	-	CE20(148-397)	CE20_e8	CE20	Y(1-23)	3	CE20	putative sialic acid-specific acetylesterase	-
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1733	3.2.1.78:2	GH26(2-166)	GH26_e52	GH26	N	3	GH26	Extracellular endo-beta-1,4-mannanase (GH26)	Mannose and mannoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.177	3.2.1.1:8|3.2.1.1:21|3.2.1.1:21|-|-	GH13_28(84-351)+CBM26(602-681)+CBM26(812-890)+CBM13(1026-1117)	GH13_e34+CBM26_e0+CBM26_e0+CBM13_e203+CBM25_e7	CBM25+CBM26+GH13_28	Y(1-45)	3	GH13_28	Extracellular RS-degrading alpha-amylase-1 (GH13_28)	Maltose and starch utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.18	3.2.1.22:8	GH36(31-709)	GH36_e2	GH36	N	3	GH36	Alpha-1,6/4/3-galactosidase (GH36)	Alpha-galactoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1879	3.2.1.26:6	GH32(44-351)	GH32_e28	GH32	N	3	GH32	Beta-2,1/6-fructofuranosidase-2 (GH32)	Fructose and fructoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1920	3.2.1.21:22|3.2.1.-:4|3.2.1.37:1|3.2.1.55:1|3.2.1.23:1|3.2.1.45:1	GH3(31-252)	GH3_e197	GH3	N	3	GH3	Beta-glucosidase-1 (GH3)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1928	3.2.1.21:6	GH3(75-306)	GH3_e91	GH3	N	3	GH3	Beta-glucosidase-2 (GH3)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1930	3.2.1.55:1|3.2.1.21:1|3.2.1.58:1	GH5_44(59-351)	GH5_e69	GH5_44	N	3	GH5_44	Putative flavonoid/ginsenoside glycoside hydrolase (GH5_44)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1931	3.2.1.55:1|3.2.1.21:1|3.2.1.58:1	GH5_44(1-252)	GH5_e69	GH5_44	N	3	GH5_44	Putative flavonoid/ginsenoside glycoside hydrolase (GH5_44)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1935	3.2.1.37:1	GH30_2(35-446)	GH30_e60	GH30_2	N	3	GH30_2	Flavonoid/ginsenoside beta-xylosidase (GH30)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1938	3.2.1.-:1	GH42(15-385)	GH42_e0	GH42	N	3	GH42	Flavonoid/ginsenoside alpha-L-arabinopyranosidase (GH42)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1956	-	GH109(2-159)	GH109_e7	-	N	2	GH109	Putative oxidoreductase for Trp catabolism	-
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1966	3.2.1.24:5	GH38(2-144)	GH38_e38	-	N	2	GH38	Alpha-mannosidase (GH38)	-
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1975	3.2.1.55:1	GH51(211-803)	GH51_e36	GH51	N	3	GH51	Alpha-1,2/3/5-L-arabinofuranosidase (GH51)	Type II arabinogalactan and gum arabic utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1977	3.2.1.37:1	GH43_22(53-288)	GH43_e201	GH43_22	N	3	GH43_22	Beta-xylosidase (GH43_22)	Type II arabinogalactan and gum arabic utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1978	3.2.1.88:2	GH36(143-669)	GH36_e35	GH36	N	3	GH36	Beta-L-arabinopyranosidase (GH36)	Type II arabinogalactan and gum arabic utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1979	3.2.1.185:2	GH127(17-609)	GH127_e0	GH127	N	3	GH127	Putative beta-L-arabinofuranosidase (GH127)	Type II arabinogalactan and gum arabic utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.1984	-	GH2(70-585)	GH2_e128	GH2	N	3	GH2	Putative beta-galactosidase (GH2)	Beta-galactoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.2015	3.2.1.41:14|3.2.1.1:4|3.2.1.68:2|3.2.1.-:2|3.2.1.-:2|3.2.1.68:1|3.2.1.41:1	GH13_14(193-548)	CBM48_e14+GH13_e95	CBM48+GH13_14	N	3	GH13_14	Pullulanase (GH13_14)	Maltose and starch utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.2019	-	GH13(53-396)	GH13_e57	GH13_44	N	3	GH13_44	Alpha-1,4-glucosidase (GH13_44)	Maltose and starch utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.2020	2.4.1.25:4	GH77(183-705)	GH77_e2	GH77	N	3	GH77	4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	Maltose and starch utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.2021	3.2.1.20:2	GH13_30(33-403)	GH13_e234	GH13_30	N	3	GH13_30	Broad specificity alpha-glucosidase (GH13_30)	Maltose and starch utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.25	3.2.1.23:35	GH2(13-905)	GH2_e1	GH2	N	3	GH2	Beta-1,4-galactosidase (GH2)	HMO utilization in bifidobacteria; Beta-galactoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.271	-	GH3(688-890)	GH3_e130	GH3	N	3	GH3	Beta-glucosidase-3 (GH3)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.31	-	GH172(94-354)	GH172_e0	GH172	N	3	GH172	hypothetical protein	-
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.318	3.2.1.22:8	GH36(55-654)	GH36_e2	GH36	N	3	GH36	Alpha-1,3-galactosidase (GH36)	Type II arabinogalactan and gum arabic utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.372	2.4.1.7:2	GH13_18(35-379)	GH13_e144	GH13_18	N	3	GH13_18	Sucrose phosphorylase (EC 2.4.1.7)	Fructose and fructoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.377	-	CE20(122-436)	CE20_e44	CE20	N	3	CE20	Putative carbohydrate esterase (CE20)	-
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.453	3.2.1.55:1	GH43_27(344-677)	GH43_e116	GH43_27	N	3	GH43_27	Alpha-1,2/3-L-arabinofuranosidase (GH43_27)	Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.455	-	GH43_26(4-304)	GH43_e175	GH43_26	N	3	GH43_26	Alpha-1,5-L-arabinofuranosidase (GH43_26)	Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.460	-	GH43_22(56-298)	GH43_e200	GH43_22	N	3	GH43_22	Putative alpha-L-arabinofuranosidase (GH43_22)	Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.48	3.2.1.21:22|3.2.1.-:4|3.2.1.37:1|3.2.1.55:1|3.2.1.23:1|3.2.1.45:1	GH3(25-245)	GH3_e197	GH3	N	3	GH3	Beta-glucosidase-3 (GH3)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.51	-	GH31(187-625)	GH31_e77	GH31	N	3	GH31	Putative alpha-glucosidase (GH31)	Alpha-glucoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.52	5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1	GH13_31(82-449)	GH13_e122	GH13_31	N	3	GH13_31	Alpha-1,6-glucosidase (GH13_31)	Alpha-glucoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.59	-	CE9(2-331)	CE9_e95	CE9	N	3	CE9	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	Sialic acid utilization in bifidobacteria; HMO utilization in bifidobacteria; N-acetylglucosamine utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.60	3.2.1.23:18	GH42(25-395)	GH42_e28	GH42	N	3	GH42	Beta-1,3/4/6-galactosidase (GH42)	Beta-galactoside utilization in bifidobacteria; HMO utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.614	3.2.1.37:3|-	GH120(320-409)	GH120_e0+GH120_e3	GH120	N	3	GH120	Beta-1,4-xylosidase-1 (GH120)	Xylose and xyloside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.615	3.2.1.156:5	GH8(54-371)	GH8_e36	GH8	N	3	GH8	Reducing end xylose-releasing exo-oligoxylanase-1 (GH8)	Xylose and xyloside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.616	3.2.1.55:2|-	GH43_10(1-229)+CBM91(272-474)	GH43_e2+CBM91_e2	GH43_10	N	3	GH43_10	Double substituted AXOS alpha-1,3-L-arabinofuranosidase (GH43_10)	Xylose and xyloside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.623	2.4.1.25:4	GH77(188-700)	GH77_e2	GH77	N	3	GH77	4-alpha-glucanotransferase (amylomaltase)-2 (EC 2.4.1.25)	Maltose and starch utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.626	3.2.1.68:75|2.4.1.25:4|3.2.1.-:1|3.2.1.68:15|3.2.1.-:1	GH13_11(196-564)	CBM48_e3+GH13_e48	CBM48+GH13_11	N	3	GH13_11	Putative glycogen debranching enzyme-2 (GH13_11)	Maltose and starch utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.64	3.2.1.23:35	GH2(22-903)	GH2_e1	GH2	N	3	GH2	Beta-1,4-galactosidase (GH2)	Beta-galactoside utilization in bifidobacteria; HMO utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.70	3.2.1.21:4	GH1(5-385)	GH1_e38	GH1	N	3	GH1	Beta-glucosidase-2 (GH1)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.737	3.2.1.37:21|3.2.1.55:3|3.2.1.-:1|-	GH43_11(3-304)+CBM91(331-539)	GH43_e285+CBM91_e24	GH43_11	N	3	GH43_11	Beta-1,4-xylosidase-3 (GH43_11)	Xylose and xyloside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.738	-	CE20(84-200)+CE20(399-524)	CE20_e33	CE20	N	3	CE20	Putative XOS/AXOS acetyl or feruloyl esterase-1 (CE20)	Xylose and xyloside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.747	3.2.1.21:22|3.2.1.-:4|3.2.1.37:1|3.2.1.55:1|3.2.1.23:1|3.2.1.45:1	GH3(38-258)	GH3_e197	GH3	N	3	GH3	Putative xgl-cluster beta-glucosidase (GH3)	Xyloglucan utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.749	3.2.1.23:6	GH42(1-166)	GH42_e29	GH42	N	3	GH42	Putative xgl-cluster beta-galactosidase (GH42)	Xyloglucan utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.756	2.4.1.20:14|2.4.1.49:1	GH94(2-420)	GH94_e12	GH94	N	3	GH94	Cellobiose phosphorylase (EC 2.4.1.20)	Xyloglucan utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.770	3.2.1.20:2	GH13_30(19-386)	GH13_e234	GH13_30	N	3	GH13_30	Alpha-1,4/6-glucosidase (GH13_30)	Maltose and starch utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.830	-	GH36(2-518)	GH36_e14	GH36	N	3	GH36	Putative beta-L-arabinopyranosidase-2 (GH36)	Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.835	3.2.1.185:2	GH127(10-571)	GH127_e0	GH127	N	3	GH127	Putative beta-1,2-L-arabinofuranosidase-2 (GH127)	Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.319	3.2.1.-:1	-	GH39_e118	CBM0+GH39+3.2.1.-	N	2	GH39	Extracellular 3-O-alpha-D-galactosyl-alpha-L-arabinofuranosidase (GH39)	Type II arabinogalactan and gum arabic utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.755	2.4.1.20:14|2.4.1.49:1	-	GH94_e12	GH94	N	2	GH94	Cellobiose phosphorylase (EC 2.4.1.20)	Xyloglucan utilization in bifidobacteria
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.158	-	-	GH23_e487	GH23	N	2	GH23	FIG00672571: hypothetical protein	-
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.274	-	-	GH23_e314	GH0	Y(1-23)	2	GH23,GH0	Cell wall-binding protein	-
Bifidobacterium adolescentis L2-32	fig|411481.5	fig|411481.5.peg.836	-|-|-	-	GH39_e120+CBM35_e35+CBM35_e35	CBM35+GH39	Y(1-21)	2	GH39	Hypothetical membrane-attached GH in beta-AOS utilization locus (GH39)	Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1143	3.2.1.23:18	GH42(87-458)	GH42_e28	GH42	Y(1-19)	3	GH42	Beta-1,4-galactosidase (GH42)	Beta-galactoside utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1188	2.4.1.211:13	GH112(5-749)	GH112_e0	GH112	N	3	GH112	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase (EC 2.4.1.211)	HMO utilization in bifidobacteria; O-glycan utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1254	3.2.1.51:2	GH29(18-360)	GH29_e85	GH29	N	3	GH29	Alpha-1,6-L-fucosidase (GH29)	N-glycan utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1256	-	CE9(23-353)	CE9_e95	CE9	N	3	CE9	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	Sialic acid utilization in bifidobacteria; HMO utilization in bifidobacteria; N-acetylglucosamine utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1257	3.2.1.24:5	GH38(270-525)	GH38_e38	GH38	N	3	GH38	Putative alpha-mannosidase (GH38)	N-glycan utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1261	3.2.1.52:2	GH20(152-466)	GH20_e1	GH20	N	3	GH20	Putative N-glycan beta-N-acetylglucosaminidase (GH20)	N-glycan utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1262	3.2.1.25:5	GH5_18(15-298)	GH5_e224	GH5_18	N	3	GH5_18	Putative N-glycan beta-mannosidase (GH5_18)	N-glycan utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1265	3.2.1.-:2	GH125(1-287)	GH125_e0	GH125	N	3	GH125	Alpha-1,6-mannosidase (GH125)	N-glycan utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1272	-	GH85(53-201)	GH85_e2	GH85	N	3	GH85	Putative endo-beta-N-acetylglucosaminidase (GH85)	N-glycan utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1273	-	GH85(2-146)	GH85_e2	GH85	N	3	GH85	Putative endo-beta-N-acetylglucosaminidase (GH85)	N-glycan utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1277	3.2.1.-:2	GH125(27-423)	GH125_e0	GH125	N	3	GH125	Alpha-1,6-mannosidase (GH125)	N-glycan utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1284	-	CE9(68-466)	CE9_e95	CE9	N	3	CE9	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	Sialic acid utilization in bifidobacteria; HMO utilization in bifidobacteria; N-acetylglucosamine utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1436	2.4.1.18:57|2.4.1.18:14	GH13_9(300-600)	CBM48_e2+GH13_e200	CBM48+GH13_9	N	3	GH13_9	1,4-alpha-glucan (glycogen) branching enzyme (GH13_9)	Maltose and starch utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1466	-	GH3(130-356)	GH3_e11	GH3	Y(1-17)	3	GH3	beta-glycosyl hydrolase	-
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1617	3.2.1.55:5	GH51(268-750)	GH51_e47	GH51	N	3	GH51	Putative alpha-L-arabinofuranosidase (GH51)	Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1734	3.2.1.18:1	GH33(323-742)	GH33_e24	GH33	N	3	GH33	Alpha-2,3/6-sialidase (GH33)	HMO utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1757	3.2.1.21:22|3.2.1.-:4|3.2.1.37:1|3.2.1.55:1|3.2.1.23:1|3.2.1.45:1	GH3(31-252)	GH3_e197	GH3	N	3	GH3	Beta-glucosidase-1 (GH3)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1761	3.2.1.55:1|3.2.1.21:1|3.2.1.58:1	GH5_44(58-366)	GH5_e69	GH5_44	N	3	GH5_44	Putative flavonoid/ginsenoside glycoside hydrolase (GH5_44)	Beta-glucoside utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1832	3.2.1.68:15|3.2.1.-:1	GH13_11(230-596)	GH13_e48	CBM48+GH13_11	N	3	GH13_11	Putative glycogen debranching enzyme-2 (GH13_11)	Maltose and starch utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1835	2.4.1.25:4	GH77(189-697)	GH77_e2	GH77	N	3	GH77	4-alpha-glucanotransferase (amylomaltase)-2 (EC 2.4.1.25)	Maltose and starch utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1924	2.4.1.25:4	GH77(204-728)	GH77_e2	GH77	N	3	GH77	4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	Maltose and starch utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1926	3.2.1.20:2	GH13_30(33-403)	GH13_e234	GH13_30	N	3	GH13_30	Broad specificity alpha-glucosidase (GH13_30)	Maltose and starch utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.1937	2.4.1.7:2	GH13_18(35-379)	GH13_e144	GH13_18	N	3	GH13_18	Sucrose phosphorylase (EC 2.4.1.7)	Fructose and fructoside utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.2013	3.2.1.26:6	GH32(44-352)	GH32_e28	GH32	N	3	GH32	Beta-2,1/6-fructofuranosidase-2 (GH32)	Fructose and fructoside utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.2073	3.2.1.52:1	GH20(133-448)	GH20_e24	GH20	N	3	GH20	Beta-1,3/4/6-N-acetylglucosaminidase-1 (GH20)	N-glycan utilization in bifidobacteria; HMO utilization in bifidobacteria; N-acetylglucosamine utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.2121	3.2.1.51:3	GH151(30-169)	GH151_e0	GH151	N	3	GH151	Alpha-L-fucosidase (GH151)	-
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.2122	3.2.1.111:8|3.2.1.51:3	GH29(12-286)	GH29_e30	GH29	N	3	GH29	hypothetical protein	-
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.214	-	GH109(16-173)	GH109_e7	-	N	2	GH109	Putative oxidoreductase	-
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.2205	-	GH13_20(49-332)	GH13_e155	GH13	N	3	GH13_20	Cytoplasmic alpha-amylase (EC 3.2.1.1)	Maltose and starch utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.2336	3.2.1.25:5	GH5_18(15-294)	GH5_e224	GH5_18	N	3	GH5_18	N-glycan beta-mannosidase (GH5_18)	N-glycan utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.2362	3.2.1.52:2	GH20(139-454)	GH20_e1	GH20	N	3	GH20	Beta-1,3/4-N-acetylglucosaminidase (GH20)	HMO utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.2367	3.2.1.18:6	GH33(23-369)	GH33_e129	GH33	N	3	GH33	HMO cluster I alpha-2,3/6-sialidase (GH33)	HMO utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.2379	3.2.1.111:8|3.2.1.51:3	GH29(21-353)	GH29_e30	GH29	N	3	GH29	Alpha-1,3/4-L-fucosidase (GH29)	HMO utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.2380	3.2.1.-:3|3.2.1.63:2	GH95(2-761)	GH95_e1	GH95	N	3	GH95	Alpha-1,2-L-fucosidase (GH95)	HMO utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.2381	3.2.1.23:35	GH2(22-903)	GH2_e1	GH2	N	3	GH2	Beta-1,4-galactosidase (GH2)	HMO utilization in bifidobacteria; Beta-galactoside utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.289	3.2.1.49:1	GH129(3-627)	GH129_e0	GH129	N	3	GH129	Alpha-N-acetylgalactosaminidase (GH129)	O-glycan utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.527	3.2.1.51:2	GH29(18-360)	GH29_e85	GH29	N	3	GH29	Alpha-1,6-L-fucosidase (GH29)	N-glycan utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.577	-	PL27(74-701)	PL27_e1	PL27	N	3	PL27	Predicted lyase in locus with globotriose ABC transporter, PL27	-
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.667	-	GH13_3(317-535)	GH13_e41	GH13_3	N	3	GH13_3	Cytoplasmic alpha-amylase (EC 3.2.1.1)	Maltose and starch utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.695	3.2.1.51:2	GH29(18-360)	GH29_e85	GH29	N	3	GH29	Alpha-1,6-L-fucosidase (GH29)	N-glycan utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.698	3.2.1.51:2	GH29(18-360)	GH29_e85	GH29	N	3	GH29	Alpha-1,6-L-fucosidase (GH29)	N-glycan utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.884	3.2.1.22:8	GH36(38-714)	GH36_e2	GH36	N	3	GH36	Alpha-1,6/4/3-galactosidase (GH36)	Alpha-galactoside utilization in bifidobacteria
Bifidobacterium longum subsp. infantis IN-F29	fig|1682.29	fig|1682.29.peg.890	5.4.99.11:5|3.2.1.20:4|3.2.1.10:1|3.2.1.-:1|3.2.1.70:1	GH13_31(46-412)	GH13_e122	GH13_31	N	3	GH13_31	Alpha-1,6-glucosidase (GH13_31)	Alpha-glucoside utilization in bifidobacteria
