mcSEED_subsystem	name	alt_names	annotation	dupl_subsystem	dupl_homolog	phenotype	pathway	type	classification	additional_classification	function	regulon	evidence	PMID	example_id_mcSEED	example_locus_tag	additional_info
N-glycan utilization	BlMan38C	BL1329	Alpha-1,2/3/6-mannosidase-3 (GH38)	NA	NA	Nglyc	N-glycan utilization	CAZyme	GH38	intracellular	Releases terminal alpha-1,2/3/6-linked mannose (D-Manp) residues from alpha-1,2/3/6-mannobiose. Has higher catalytic efficiency for alpha-1,2-mannobiose. Partially degrades oligomannose N-glycans (Man5GlcNAc and Man9GlcNAc)	MnaR	characterized	36443572	fig|206672.9.peg.185	BL1329	NA
N-glycan utilization	BlMan125	BL1338	Alpha-1,6-mannosidase (GH125)	NA	NA	Nglyc	N-glycan utilization	CAZyme	GH125	intracellular	Releases terminal alpha-1,6-linked mannose (D-Manp) residues from alpha-1,6-mannobiose and oligomannose N-glycans 	MnaR	characterized	36443572	fig|206672.9.peg.195	BL1338	NA
N-glycan utilization	BlMan5B	BL1333	N-glycan beta-mannosidase (GH5_18)	NA	NA	Nglyc	N-glycan utilization	CAZyme	GH5_18	intracellular	Preferentially cleaves Man-b-1,4-GlcNAc formed during the hydrolysis of N-glycans	MnaR	characterized	30641082;33764747	fig|206672.9.peg.190	BL1333	NA
N-glycan utilization	ManI	BL1337	D-mannose isomerase (EC 5.3.1.7)	d	NA	Man	D-mannose utilization	downstream_catabolism	EC 5.3.1.7	NA	Converts D-mannose to D-fructose	MnbR OR MnaR	characterized	36443572	fig|206672.9.peg.194	BL1337	NA
N-glycan utilization	MnaA	BL1330	Putative N-glycan ABC transporter substrate-binding component (TC 3.A.1.1)	NA	NA	Nglyc	N-glycan utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport N-glycans	MnaR	predicted	NA	fig|206672.9.peg.187	BL1330	NA
N-glycan utilization	MnaB	BL1331	Putative N-glycan ABC transporter permease component 1 (TC 3.A.1.1)	NA	NA	Nglyc	N-glycan utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport N-glycans	MnaR	predicted	NA	fig|206672.9.peg.188	BL1331	NA
N-glycan utilization	MnaC	BL1332	Putative N-glycan ABC transporter permease component 2 (TC 3.A.1.1)	NA	NA	Nglyc	N-glycan utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport N-glycans	MnaR	predicted	NA	fig|206672.9.peg.189	BL1332	NA
N-glycan utilization	MnaR	NA	Putative transcriptional regulator of N-glycan utilization (LacI family)	NA	NA	Nglyc	N-glycan utilization	regulator	LacI	NA	Predicted to regulate the expression of genes involved in N-glycan utilization	MnaR	predicted	35417188	fig|206672.9.peg.193	BL1336	NA
N-glycan utilization	BsAtsX	NA	Putative anaerobic N-glycan sulfatase (EC 3.1.6.1)	NA	NA	Nglyc	N-glycan utilization	downstream_catabolism	EC 3.1.6.1	NA	Predicted to release sulfate groups from sulfated residues in complex N-glycans	MnaR	predicted_new	NA	fig|1150461.5.peg.1891	BBSC_1808	NA
N-glycan utilization	BsAtsY	NA	Putative anaerobic N-glycan sulfatase maturing enzyme	NA	NA	Nglyc	N-glycan utilization	downstream_catabolism	NA	NA	Predicted to modify BsAtsX precursor	MnaR	predicted_new	NA	fig|1150461.5.peg.1890	BBSC_1807	NA
N-glycan utilization	BsFuc29	NA	Putative N-glycan alpha-L-fucosidase (GH29)	NA	NA	Nglyc	N-glycan utilization	CAZyme	GH29	intracellular	Predicted to release terminal alpha-L-fucose (L-Fucp) residues from complex N-glycans	NglR	predicted_new	NA	fig|1150461.5.peg.1854	BBSC_1774	NA
N-glycan utilization	Hex3	NA	Putative N-glycan beta-N-acetylglucosaminidase (GH20)	NA	NA	Nglyc	N-glycan utilization	CAZyme	GH20	intracellular	Predicted to release terminal beta-1,2-linked GlcNAc residues from complex N-glycans	NglR	predicted	35417188	fig|1682.29.peg.1261	NA	Ngl cluster in Bifidobacterium longum subsp. infantis
N-glycan utilization	BiMan38	NA	Putative alpha-mannosidase (GH38)	NA	NA	Nglyc	N-glycan utilization	CAZyme	GH38	intracellular	Predicted to release terminal alpha-1,2/3/6-linked mannose (D-Manp) residues from N-glycans	NglR	predicted	NA	fig|1682.29.peg.1257	NA	Ngl cluster in Bifidobacterium longum subsp. infantis
N-glycan utilization	BsMan2	NA	Putative N-glycan beta-mannosidase (GH2)	NA	NA	Nglyc	N-glycan utilization	CAZyme	GH2	intracellular	Predicted to cleave Man-b-1,4-GlcNAc formed during the hydrolysis of N-glycans	NglR	predicted_new	NA	fig|1150461.5.peg.1852	BBSC_1772	NA
N-glycan utilization	BiMan5	BlMan5B*	Putative N-glycan beta-mannosidase (GH5_18)	NA	NA	Nglyc	N-glycan utilization	CAZyme	GH5_18	intracellular	Predicted to cleave Man-b-1,4-GlcNAc formed during the hydrolysis of N-glycans	NglR	predicted	35417188	fig|1682.29.peg.1262	NA	Ngl cluster in Bifidobacterium longum subsp. infantis
N-glycan utilization	NglA	NA	Putative complex N-glycan ABC transporter substrate-binding component (TC 3.A.1.1)	NA	NA	Nglyc	N-glycan utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport complex N-glycans	NglR	predicted	35417188	fig|1682.29.peg.1258	NA	Ngl cluster in Bifidobacterium longum subsp. infantis
N-glycan utilization	NglB	NA	Putative complex N-glycan ABC transporter permease component 1 (TC 3.A.1.1)	NA	NA	Nglyc	N-glycan utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport complex N-glycans	NglR	predicted	35417188	fig|1682.29.peg.1259	NA	Ngl cluster in Bifidobacterium longum subsp. infantis
N-glycan utilization	NglC	NA	Putative complex N-glycan ABC transporter permease component 2 (TC 3.A.1.1)	NA	NA	Nglyc	N-glycan utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport complex N-glycans	NglR	predicted	35417188	fig|1682.29.peg.1260	NA	Ngl cluster in Bifidobacterium longum subsp. infantis
N-glycan utilization	NglR	NA	Putative transcriptional regulator of complex N-glycan utilization (ROK family)	NA	NA	Nglyc	N-glycan utilization	regulator	ROK	NA	Predicted to regulate the expression of the ngl cluster	NglR	predicted	35417188	fig|1682.29.peg.1263	NA	Ngl cluster in Bifidobacterium longum subsp. infantis
N-glycan utilization	Hex1	Blon_0732	Beta-1,3/4/6-N-acetylglucosaminidase-1 (GH20)	d	NA	Chb;LNT;LNnT;Nglyc	Diacetylchitobiose utilization;LNT utilization;LNnT utilization;N-glycan utilization	CAZyme	GH20	intracellular	Releases terminal beta-1,3/4/6-linked GlcNAc residues from lacto-N-triose II, diacetylchitobiose, LNH-derived pentasaccharide	NA	characterized	22579845	fig|391904.5.peg.725	Blon_0732	NA
N-glycan utilization	NahA	Blon_0459	Beta-1,3/4/6-N-acetylglucosaminidase-2 (GH20)	d	NA	Chb;LNT;LNnT;Nglyc	Diacetylchitobiose utilization;LNT utilization;LNnT utilization;N-glycan utilization	CAZyme	GH20	intracellular	Releases terminal beta-1,3/4/6-linked GlcNAc residues from lacto-N-triose II, diacetylchitobiose, LNH-derived pentasaccharide	NA	characterized	22579845;27929046	fig|326426.4.peg.1671	Blon_0459;Bbr_1556	Knockout of the gene abolishes the growth of Bifidobacterium breve UCC2003 on LNT/LNnT (PMID: 27929046)
N-glycan utilization	AfcC	Blon_0248	Alpha-1,6-L-fucosidase (GH29)	NA	d	Ncore	N-glycan core utilization	CAZyme	GH29_A	intracellular	Releases terminal alpha-1,6-linked fucose (L-Fucp) residues from Fuca1-6GlcNAcb1-Asn-peptide. Not active toward Fuca1-6(GlcNAcb1-4)GlcNAc	NA	characterized	doi.org/10.5458/jag.jag.JAG-2019_0016	fig|391904.5.peg.248	Blon_0248	NA
N-glycan utilization	AfcC	Blon_0426	Alpha-1,6-L-fucosidase (GH29)	NA	d	Ncore	N-glycan core utilization	CAZyme	GH29_A	intracellular	Releases terminal alpha-1,6-linked fucose (L-Fucp) residues from Fuca1-6GlcNAcb1-Asn-peptide. Not active toward Fuca1-6(GlcNAcb1-4)GlcNAc	NA	characterized	doi.org/10.5458/jag.jag.JAG-2019_0016	fig|391904.5.peg.428	Blon_0426	NA
N-glycan utilization	AfcT	NA	Putative Fuc(a1-6)GlcNAc-peptide MFS permease (TC 2.A.1.68)	NA	NA	Ncore	N-glycan core utilization	transporter	TC 2.A.1.68	MFS Superfamily; Glucose Transporter (GT) Family	Predicted to transport Fuca1-6GlcNAcb1-Asn-peptide	NA	predicted	NA	fig|391904.5.peg.247	Blon_0247;Blon_0425	NA
O-glycan utilization	LnpA	LNBP	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase (EC 2.4.1.211)	d	NA	LNB;GNB	LNB utilization;GNB utilization	CAZyme	GH112;EC 2.4.1.211	NA	Catalyzes the phosphorolysis of lacto-N-biose/galacto-N-biose to N-acetylglucosamine/N-acetylgalactosamine and galactose-1-phosphate	NagR	characterized	15933016	fig|565042.3.peg.1679	BLLJ_1623	Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated on LNnT (PMIDs: 36094076)
O-glycan utilization	LnpB	NahK	N-acetylhexosamine 1-kinase (EC 2.7.1.162)	d	NA	GalNAc;LNB;GNB	N-acetylgalactosamine utilization;LNB utilization;GNB utilization	downstream_catabolism	EC 2.7.1.162	NA	Phosphorylates (i) N-acetylglucosamine to N-acetylglucosamine-1-phosphate; (ii) N-acetylgalactosamine to N-acetylgalactosamine-1-phosphate	NagR	characterized	17720833	fig|565042.3.peg.1678	BLLJ_1622	Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated on LNnT (PMIDs: 36094076)
O-glycan utilization	LnpC	GalT2	UDP-glucose---hexose-1-phosphate uridylyltransferase (EC 2.7.7.12) 	d	NA	GalNAc;LNB;GNB	N-acetylgalactosamine utilization;LNB utilization;GNB utilization	downstream_catabolism	EC 2.7.7.12	NA	Catalyzes the reaction: UDP-glucose + N-acetylgalactosamine-1-phosphate/N-acetylglucosamine-1-phosphate <> glucose-1-phosphate + UDP-N-acetylgalactosamine/UDP-N-acetylglucosamine	NagR	characterized	17720833;24014529	fig|565042.3.peg.1677	BLLJ_1621	Also acts on galactose-1-phosphate, but the activity is 357-fold lower than one of GalT. Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated on LNnT (PMIDs: 36094076)
O-glycan utilization	LnpD	NA	UDP-hexose 4-epimerase (EC 5.1.3.2)	d	NA	Gal;GalNAc;LNB;GNB	D-galactose utilization;N-acetylgalactosamine utilization;LNB utilization;GNB utilization	downstream_catabolism	EC 5.1.3.2	NA	Reversibly catalyzes the conversion of (i) UDP-N-acetylgalactosamine to UDP-N-acetylglucosamine; (ii) UDP-galactose to UDP-glucose	NagR	characterized	17720833	fig|565042.3.peg.1676	BLLJ_1620	Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated on LNnT (PMIDs: 36094076)
O-glycan utilization	GltA	LnbA	Lacto-N-biose/galacto-N-biose ABC transporter-1 substrate-binding component (TC 3.A.1.1.48)	d	NA	LNB;GNB	LNB utilization;GNB utilization	transporter	TC 3.A.1.1.48	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Binds lacto-N-biose (LNB) and galacto-N-biose (GNB) in vitro	NagR	characterized	18332142	fig|565042.3.peg.1682	BLLJ_1626	Substrate specificity varies at the species and strain levels (PMIDs: 18332142; 21423604; 27756904)
O-glycan utilization	GltB	LnbB	Lacto-N-biose/galacto-N-biose ABC transporter-1 permease component 1 (TC 3.A.1.1.48)	d	NA	LNB;GNB	LNB utilization;GNB utilization	transporter	TC 3.A.1.1.48	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Likely transports lacto-N-biose and galacto-N-biose	NagR	predicted	NA	fig|565042.3.peg.1681	BLLJ_1625	NA
O-glycan utilization	GltC	LnbB	Lacto-N-biose/galacto-N-biose ABC transporter-1 permease component 2 (TC 3.A.1.1.48)	d	NA	LNB;GNB	LNB utilization;GNB utilization	transporter	TC 3.A.1.1.48	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Likely transports lacto-N-biose and galacto-N-biose	NagR	predicted	NA	fig|565042.3.peg.1680	BLLJ_1624	NA
O-glycan utilization	GltF	Blon_0883	Lacto-N-biose/galacto-N-biose ABC transporter-2 substrate-binding component (TC 3.A.1.1)	d	NA	LNB;GNB	LNB utilization;GNB utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Binds lacto-N-biose and galacto-N-biose in vitro	NagR	characterized	21423604	fig|391904.5.peg.886	Blon_0883	Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated on LNT, LNnT (PMIDs: 29900174; 36094076)
O-glycan utilization	GltG	Blon_0884	Lacto-N-biose/galacto-N-biose ABC transporter-2 permease component 1 (TC 3.A.1.1)	d	NA	LNB;GNB	LNB utilization;GNB utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Likely transports lacto-N-biose and galacto-N-biose	NagR	predicted	NA	fig|391904.5.peg.887	Blon_0884	Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated on LNT, LNnT (PMIDs: 29900174; 36094076)
O-glycan utilization	GltH	Blon_0885	Lacto-N-biose/galacto-N-biose ABC transporter-2 permease component 2 (TC 3.A.1.1)	d	NA	LNB;GNB	LNB utilization;GNB utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Likely transports lacto-N-biose and galacto-N-biose	NagR	predicted	NA	fig|391904.5.peg.888	Blon_0885	Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated on LNT, LNnT (PMIDs: 29900174; 36094076)
O-glycan utilization	AgaBb	NA	Extracellular alpha-1,3-galactosidase (GH110)	NA	NA	Muc	Mucin O-glycan degradation	CAZyme	GH110	extracellular	Releases terminal alpha-1,3-linked galactose (D-Galp) residues from B antigen, group B/AB mucin O-glycans	NagR	characterized	23089618	fig|702459.3.peg.1346	BBPR_1300	NA
O-glycan utilization	BbgIII	NA	Extracellular beta-1,4-galactosidase (GH2)	d	NA	LNnT;lcHMO;Muc	LNnT utilization;Long-chain HMO utilization;Mucin O-glycan degradation	CAZyme	GH2	extracellular	Releases terminal beta-1,4-linked galactose (D-Galp) residues from LNnT, LacNAc, and LNH. Has approximately 1000-fold lower activity toward lactose; not active toward lacto-N-biose, LNT, 3FL, LNFP III	NagR	characterized	20581010	fig|702459.3.peg.500	BBPR_0482	NA
O-glycan utilization	AgnB	NA	Extracellular alpha-N-acetylglucosaminidase (GH89)	NA	NA	Muc	Mucin O-glycan degradation	CAZyme	GH89	extracellular	Releases terminal alpha-1,4-linked GlcNAc residues from mucin O-glycans	NagR	characterized	25381911	fig|702459.3.peg.1556	BBPR_1503	NA
O-glycan utilization	BbhI	NA	Extracellular beta-1,3-N-acetylglucosaminidase (GH20)	d	NA	LNnT;lcHMO;Muc	LNnT utilization;Long-chain HMO utilization;Mucin O-glycan degradation	CAZyme	GH20	extracellular	Releases terminal beta-1,3-linked GlcNAc residues from lacto-N-triose I and core 3 structure mucin O-glycans	NA	characterized	20581010;37146969	fig|702459.3.peg.1583	BBPR_1529	Gene in Bifidobacterium bifidum JCM 1254 is upregulated on mucin (PMID: 37146969)
O-glycan utilization	BbhII	NA	Extracellular 6-sulfo-beta-N-acetylglucosaminidase (GH20)	NA	NA	Muc	Mucin O-glycan degradation	CAZyme	GH20	extracellular	Releases terminal beta-1,6-linked GlcNAc-6S residues from core 2 structure mucin O-glycans	NagR	characterized	28814130	fig|702459.3.peg.1050	BBPR_1018	Gene in Bifidobacterium bifidum is upregulated on mucin (PMID: 28814130)
O-glycan utilization	BbhIV	NA	Extracellular beta-1,6-N-acetylglucosaminidase (GH84)	NA	NA	Muc	Mucin O-glycan degradation	CAZyme	GH84	extracellular	Releases terminal beta-1,6-linked GlcNAc residues from core 2 and core 4 structure mucin O-glycans	NagR	characterized	37146969	fig|702459.3.peg.1567	BBPR_1514	Gene in Bifidobacterium bifidum JCM 1254 is upregulated on mucin. Knockout of the gene decreases the growth of Bifidobacterium bifidum JCM 1254 on mucin (PMID: 37146969)
O-glycan utilization	BbhV	NA	Extracellular beta-N-acetylglucosaminidase (GH84)	NA	NA	Muc	Mucin O-glycan degradation	CAZyme	GH84	extracellular	Releases terminal beta-1,6-linked GlcNAc residues from core 2 and core 4 structure mucin O-glycans	NA	characterized	37146969	fig|702459.3.peg.1691	BBPR_1635	NA
O-glycan utilization	LnbB	NA	Extracellular lacto-N-biosidase (GH20)	d	NA	LNT;Muc	LNT utilization;Mucin O-glycan degradation	CAZyme	GH20	extracellular	(i) cleaves the -GlcNAc(b1-3)Gal- glycosidic bond in LNT releasing lacto-N-biose and lactose; (ii) releases galacto-N-biose from Gb5 and GA1 oligosaccharides	NagR	characterized	18469123;25839135	fig|702459.3.peg.1489	BBPR_1438	NA
O-glycan utilization	LnbX	NA	Extracellular lacto-N-biosidase (GH136)	d	NA	LNT;LNFPI;lcHMO;Muc	LNT utilization;LNFP I utilization;Long-chain HMO utilization;Mucin O-glycan degradation	CAZyme	GH136	extracellular	(i) cleaves the -GlcNAc(b1-3)Gal- glycosidic bond in LNT releasing lacto-N-biose and lactose; also active toward LNFP I and LST a; (ii) releases galacto-N-biose from Gb5 pentasaccharide and globo H hexasaccharide	NagR	characterized	23843461;25839135	fig|565042.3.peg.1561	BLLJ_1505	Requires a chaperone (LnbY) for correct folding. Knockout of the gene abolishes the growth of Bifidobacterium longum subsp. longum JCM1217 on LNT (PMID: 28392148) 
O-glycan utilization	NagBb	NA	Alpha-N-acetylgalactosaminidase (GH129)	NA	NA	Muc	Mucin O-glycan degradation	CAZyme	GH129	intracellular	Releases terminal GalNAc residues from GalNAca1-O-Ser (Tn antigen). Not active toward Neu5Aca2–6GalNAca1-O-Ser (sialyl Tn antigen) and GalNAca1–3(Fuca1–2)Gal (blood group A trisaccharide)	NA	characterized	22090027	fig|702459.3.peg.1755	BBPR_1698	NA
O-glycan utilization	EngBF	NA	Extracellular endo-alpha-N-acetylgalactosaminidase (GH101)	NA	NA	Tan;Muc	T antigen degradation;Mucin O-glycan degradation	CAZyme	GH101	extracellular	Releases galacto-N-biose from the core 1 structure (T-antigen) mucin O-glycans	NagR	characterized	16141207;18559962	fig|565042.3.peg.174	BLLJ_0168	Gene in Bifidobacterium bifidum is upregulated on mucin (PMID: 18223105)
O-glycan utilization	BbAfcA	AfcA	Extracellular alpha-1,2-L-fucosidase (GH95)	d	NA	FL;LNFPI;lcHMO;Muc	2'FL and 3FL utilization;LDFT utilization;LNFP I utilization;Long-chain HMO utilization;Mucin O-glycan degradation	CAZyme	GH95	extracellular	Releases terminal alpha-1,2-linked fucose (L-Fucp) residues from 2'FL and LNFP I	NA	characterized	15262925	fig|702459.3.peg.202	BBPR_0193	Gene in Bifidobacterium bifidum is upregulated on mucin (PMID: 18223105)
O-glycan utilization	BbAfcB	AfcB	Extracellular alpha-1,3/4-L-fucosidase (GH29)	d	NA	FL;LNFPI;lcHMO;Muc	2'FL and 3FL utilization;LDFT utilization;Long-chain HMO utilization;Mucin O-glycan degradation	CAZyme	GH29_B	extracellular	Releases terminal alpha-1,3/4-linked fucose (L-Fucp) residues from 3FL, LNFP II, LNFP III, Lewis a/x trisaccharides, Lewis y tetrasachharide 	NA	characterized	19520709	fig|702459.3.peg.1407	BBPR_1360	NA
O-glycan utilization	SiaBb1	NA	Extracellular alpha-2,3/6/8-sialidase with acetylesterase (GH33)	d	NA	SL;lcHMO;Muc	Sialyllactose utilization;Long-chain HMO utilization;Mucin O-glycan degradation	CAZyme	GH33	extracellular	Releases terminal alpha-2,3/6-linked N-acetylneuraminic acid/Neu5,9Ac2 residues from HMOs and mucin O-glycans.The second domain acts as sialate-O-acetylesterase on Neu5,9Ac2, releasing N-acetylneuraminic acid	NA	characterized	30027820	fig|702459.3.peg.1852	BBPR_1793	NA
O-glycan utilization	SiaBb2	NA	Extracellular alpha-2,3/6/8-sialidase (GH33)	d	NA	SL;lcHMO;Muc	Sialyllactose utilization;Long-chain HMO utilization;Mucin O-glycan degradation	CAZyme	GH33	extracellular	Releases terminal alpha-2,3/6/8-linked N-acetylneuraminic acid/Neu5,9Ac2 residues from 3'SL, 6'SL (low activity), DSLNT, ganglioside GD1a, colominic acid (low activity), N- and O-glycans	NA	characterized	21036948;29787815;30027820	fig|702459.3.peg.1853	BBPR_1794	Knockout of the gene decreases the growth of Bifidobacterium bifidum on 6’SL and acidic porcine mucin oligosaccharide mixture (PMID: 28974612)
O-glycan utilization	BgnB	NA	Putative extracellular beta-N-acetylgalactosaminidase (GH123)	NA	NA	Muc	Mucin O-glycan degradation	CAZyme	GH123	extracellular	Predicted to release terminal beta-N-acetylgalactosamine residues	NA	predicted	NA	fig|702459.3.peg.1650	BBPR_1596	Gene in Bifidobacterium bifidum is upregulated on mucin (PMID: 28814130)
N-Acetylglucosamine sulfate utilization	NagKs	NA	Putative N-acetylglucosamine kinase involved in GlcNAc-6S utilization (EC 2.7.1.59)	NA	NA	GlcNAc6S	N-acetylglucosamine-6-sulfate utilization	downstream_catabolism	EC 2.7.1.59	NA	Predicted to phosphorylate N-acetylglucosamine to N-acetylglucosamine-6-phosphate	AtsR	predicted	27590817	fig|326426.4.peg.919	Bbr_0848	Gene in Bifidobacterium breve UCC2003 is upregulated on N-acetylglucosamine-6-sulfate (PMID: 27590817)
N-Acetylglucosamine sulfate utilization	NagAs	NagA1	N-acetylglucosamine-6-phosphate deacetylase involved in GlcNAc-6S utilization (EC 3.5.1.25)	NA	NA	GlcNAc6S	N-acetylglucosamine-6-sulfate utilization	downstream_catabolism	EC 3.5.1.25;CE9	NA	Converts N-acetylglucosamine-6-phosphate to D-glucosamine-6-phosphate	AtsR	predicted	27590817	fig|326426.4.peg.917	Bbr_0846	Paralog (74% seq. identity) of characterized N-acetylglucosamine-6-phosphate deacetylase from Bifidobacterium breve (PMID: 24814790)
N-Acetylglucosamine sulfate utilization	NagBs	NagB2	Glucosamine-6-phosphate deaminase involved in GlcNAc-6S utilization (EC 3.5.99.6)	NA	NA	GlcNAc6S	N-acetylglucosamine-6-sulfate utilization	downstream_catabolism	EC 3.5.99.6	NA	Converts D-glucosamine-6-phosphate to D-fructose-6-phosphate	AtsR	predicted	27590817	fig|326426.4.peg.918	Bbr_0847	Paralog (84% seq. identity) of characterized glucosamine-6-phosphate deaminase from Bifidobacterium breve (PMID: 24814790)
N-Acetylglucosamine sulfate utilization	AtsA	AtsA2	Anaerobic N-acetylglucosamine-6-sulfatase (EC 3.1.6.14)	NA	NA	GlcNAc6S	N-acetylglucosamine-6-sulfate utilization	downstream_catabolism	EC 3.1.6.14	NA	Cleaves the 6-sulfate group of N-acetylglucosamine 6-sulfate	AtsR	characterized	27590817	fig|326426.4.peg.924	Bbr_0852	Gene in Bifidobacterium breve UCC2003 is upregulated on N-acetylglucosamine-6-sulfate. Knockout of the gene abolishes the growth of Bifidobacterium breve UCC2003 on N-acetylglucosamine-6-sulfate (PMID: 27590817)
N-Acetylglucosamine sulfate utilization	AtsB	AtsB2	Putative anaerobic N-acetylglucosamine-6-sulfatase maturing enzyme	NA	NA	GlcNAc6S	N-acetylglucosamine-6-sulfate utilization	downstream_catabolism	NA	NA	Modifies AtsA precursor	AtsR	predicted	27590817	fig|326426.4.peg.925	Bbr_0853	Gene in Bifidobacterium breve UCC2003 is upregulated on N-acetylglucosamine-6-sulfate (PMID: 27590817)
N-Acetylglucosamine sulfate utilization	AtsE	NA	Putative sulfite/sulfate exporter	NA	NA	GlcNAc6S	N-acetylglucosamine-6-sulfate utilization	transporter	TC 2.A.102	The 4-Toluene Sulfonate Uptake Permease (TSUP) Family 	Predicted to export sulfate released from N-acetylglucosamine-6-sulfate	AtsR	predicted	NA	fig|326426.4.peg.926	Bbr_0854	Gene in Bifidobacterium breve UCC2003 is upregulated on N-acetylglucosamine-6-sulfate (PMID: 27590817)
N-Acetylglucosamine sulfate utilization	AtsT	NA	GlcNAc-6S MFS permease (TC 2.A.1.1)	NA	NA	GlcNAc6S	N-acetylglucosamine-6-sulfate utilization	transporter	TC 2.A.1.1	MFS Superfamily; Sugar Porter (SP) Family	Transports N-acetylglucosamine-6-sulfate	AtsR	characterized	27590817	fig|326426.4.peg.923	Bbr_0851	Gene in Bifidobacterium breve UCC2003 is upregulated on N-acetylglucosamine-6-sulfate. Knockout of the gene abolishes the growth of Bifidobacterium breve UCC2003 on N-acetylglucosamine-6-sulfate (PMID: 27590817)
N-Acetylglucosamine sulfate utilization	AtsR	AtsR2	Transcriptional regulator of GlcNAc-6S utilization (ROK family)	NA	NA	GlcNAc6S	N-acetylglucosamine-6-sulfate utilization	regulator	ROK	NA	Represses atsTAB, activates nagKsBsAs. Transcriptional effector: N-acetylglucosamine-6-sulfate	AtsR	characterized	27590817	fig|326426.4.peg.920	Bbr_0849	Gene in Bifidobacterium breve UCC2003 is upregulated on N-acetylglucosamine-6-sulfate (PMID: 27590817)
Maltose and starch utilization	Agl13B	AglB	Alpha-1,4/6-glucosidase (GH13_30)	NA	NA	Mal	Maltose utilization	CAZyme	GH13_30	intracellular	Releases terminal alpha-1,4/6-linked glucose (D-Glcp) residues from maltose and isomaltose. Not active toward maltotriose and isomaltotriose	MalR5	characterized	12658515	fig|367928.6.peg.484	BAD_0452	NA
Maltose and starch utilization	MalT	NA	Putative maltose MFS permease (TC 2.A.1.2)	NA	NA	Mal	Maltose utilization	transporter	TC 2.A.1.2	MFS Superfamily; Drug:H+ Antiporter-1 (12 Spanner) (DHA1) Family	Predicted to transport maltose	MalR5	predicted_new	NA	fig|401473.3.peg.598	BDP_0625	NA
Maltose and starch utilization	MalE2	NA	Putative maltose ABC transporter substrate-binding component (TC 3.A.1.1)	NA	NA	Mal	Maltose utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport maltose	MalR5	predicted	NA	fig|367928.6.peg.1056	BAD_0972	NA
Maltose and starch utilization	MalF2	NA	Putative maltose ABC transporter permease component 1 (TC 3.A.1.1)	NA	NA	Mal	Maltose utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport maltose	MalR5	predicted_new	NA	fig|1682.76.peg.1570	NA	NA
Maltose and starch utilization	MalG2	NA	Putative maltose ABC transporter permease component 2 (TC 3.A.1.1)	NA	NA	Mal	Maltose utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport maltose	MalR5	predicted_new	NA	fig|1682.76.peg.1569	NA	NA
Maltose and starch utilization	MalR5	NA	Maltodextrin utilization transcriptional regulator MalR5, LacI family	NA	NA	Mal	Maltose utilization	regulator	LacI	NA	Predicted to regulate the expression of agl13B, malE2, malT	MalR5	predicted	26903998	fig|367928.6.peg.483	BAD_0451	NA
Maltose and starch utilization	Agl13A	Agl3	Broad specificity alpha-glucosidase (GH13_30)	NA	NA	Mal;MOS	Maltose utilization;Maltooligosaccharides utilization	CAZyme	GH13_30	intracellular	Releases terminal alpha-1,2/3/4/6-linked glucose (D-Glcp) residues from palatinose, turanose, maltotriose, maltose, sucrose. Not active toward long maltooligosaccharides	MalR6	characterized	26967000	fig|326426.4.peg.123	Bbr_0111	NA
